cluster,size,cx,cy,targetid,tileid,fiber
0,508,-15.104238,-7.817887,39633352466107378,120864,4984
1,483,-15.374378,-12.528191,39627981198459234,21683,4059
2,473,-14.008204,-16.372007,39627868866612849,20865,4022
3,486,-12.477393,-4.2896786,39627676754906483,122004,1980
4,469,-13.712232,-5.81312,39627594684958806,11953,3605
5,467,0.39133084,-7.1931725,39627971962603651,21039,4049
6,464,-15.653191,-10.525778,39627688016609920,26835,442
7,506,-10.374674,-19.90415,39627947790829032,27320,828
8,501,-6.5059023,-2.706233,39627926479571351,10810,920
9,468,-14.403895,-13.925989,39633049662523578,25449,1979
10,491,-2.2185338,-20.234737,39627589253337559,25271,522
11,470,0.33341676,-17.385302,39627300030914722,23323,4560
12,500,-4.251257,-2.9442143,39633404798436064,25333,1377
13,474,-1.3069007,-5.0176644,39627501919542115,20296,950
14,481,-10.403748,-4.1441054,39633342563353907,23785,2186
15,523,-12.832405,-7.1998744,39633443050491315,25334,2669
16,508,-2.8998945,-4.10401,39627600812836814,10640,4841
17,478,1.517227,-13.374985,39633495756113557,2333,1270
18,490,-12.441257,-17.25063,39628469864235571,23476,2651
19,466,1.2977982,-11.423118,39628236476386806,5143,3464
20,483,-8.661211,-3.061129,39627766034865944,20824,1876
21,465,-0.7573078,-18.971418,39627807034180278,9221,991
22,539,-11.44601,-18.44146,39628190083188822,25714,77
23,544,-7.3116713,-19.456957,39627403554725022,26593,3285
24,435,-8.374773,-19.773834,39628421617160499,3958,969
25,462,-4.1279526,-21.238035,2305843040574590376,40656,2163
26,518,-5.5804734,-20.005157,39628433625450710,27488,846
27,484,-6.652648,-21.337399,39627652490862281,80632,1869
28,495,0.87370354,-9.329443,39628519776453586,25495,1290
29,485,-1.4760761,-6.3504725,39627843130362124,121062,243
30,508,-11.415461,-5.6657205,39633351975373809,5473,4733
31,536,-12.908652,-14.782272,39633544653310758,24454,2578
32,479,1.1706727,-15.398978,39628526638338665,102714,2980
33,535,-1.2846098,-7.5968523,2305843040021498756,42924,2012
34,510,-14.180318,-9.794236,2394348310233105,20450,4413
35,513,-11.664055,-8.597588,39628378948505860,4637,2674
36,485,-12.869737,-8.984071,39628519772259333,25495,1143
37,512,-4.4637346,-4.8620386,39628255493359950,8669,4998
38,492,-9.842233,-6.042554,39633251282714788,20946,2564
39,509,-5.737691,-4.283867,39628227907421665,20255,1384
40,505,-4.050425,-6.2734976,39633352231224924,4743,496
41,504,-8.906432,-4.986979,2305843030587888304,45660,696
42,527,-7.536919,-4.362723,1070786097971200,126,1912
43,475,-0.35682026,-8.771035,39628113738469670,27105,3310
44,493,-0.28143093,-10.3124275,39627574007040910,9378,4469
45,439,-13.672323,-11.8007,39627869135045844,6931,1899
46,485,-2.8269248,-5.6187453,39633405691825628,3076,4861
47,487,0.17035522,-11.778965,39627757969212618,20119,4936
48,491,-9.668383,-7.301664,39633191266420546,20360,2357
49,480,-10.956202,-7.123373,39627944838042251,21118,1942
50,496,0.1808116,-13.331582,39627721407464990,23416,3832
51,532,-6.8767853,-6.5996976,39627288702092862,7447,4748
52,500,-8.156969,-6.027479,39627739082262222,4120,4809
53,493,-11.295641,-14.813002,39628192226477563,24525,1470
54,451,-11.341598,-16.035803,39633009808246837,120193,1309
55,542,-8.430327,-17.82292,39633324855001271,6632,4975
56,487,-3.886382,-19.71397,39627588477387393,2557,4991
57,481,-11.536946,-11.864153,39089837474603412,83246,101
58,486,-12.584256,-12.5068445,39627328518627710,26481,4642
59,496,-11.876525,-13.578874,2781658134609936,24332,1980
60,498,-1.0456611,-11.463656,39627989838726987,27316,505
61,478,-2.8372357,-7.1573315,2305843010526574544,44909,2042
62,510,-2.4673972,-8.428077,39633389577309129,22910,1615
63,458,-0.0023276107,-14.874215,39627975494208322,121054,1274
64,489,-1.7610562,-10.272966,39627527215388868,26166,357
65,460,-1.509247,-9.200092,39628027373553354,22950,937
66,450,-2.485934,-18.848179,39628439220652017,20237,1359
67,463,-9.8801155,-17.550608,39627913737273697,21544,4506
68,499,-4.096903,-7.693056,39627455299848571,22087,1039
69,454,-1.383656,-16.93692,2714928750264322,5976,4100
70,448,-1.3519557,-17.77055,39628063276797684,24538,1178
71,482,-6.64903,-5.322195,39627685437114732,22158,4081
72,408,-9.351099,-15.71238,39633443797075655,20515,1368
73,391,-9.5560875,-16.44506,39627515517469152,23016,31
74,487,-8.3062,-7.28487,39627580843758760,102751,4693
75,468,-9.775591,-14.644751,39628091147944183,22275,3276
76,485,-1.0222813,-12.611547,39627618726707313,21835,2660
77,488,-5.275903,-7.117776,39627841670742626,21562,690
78,469,-5.5929103,-6.1793995,39627789950783648,82263,4458
79,527,-10.390435,-8.807029,39628390629642411,9051,519
80,496,-5.0836835,-8.339708,39627891675234855,1433,4955
81,515,-12.642737,-10.60439,39627941067360164,22375,3651
82,483,-3.6423094,-8.767338,39628284316618438,10832,4652
83,505,-2.9682896,-9.658514,39627814198055936,23960,3121
84,513,-4.1127996,-10.320926,39628323852124523,24211,3291
85,502,-10.505844,-13.311038,39627624225442909,24684,1796
86,494,-9.40325,-11.521837,39628016082485490,4624,3911
87,471,-10.377861,-12.109753,39628232848311852,3058,1026
88,28510,-4.8490014,-16.17709,39627646073572668,10543,4924
89,465,-7.2771783,-7.946959,39628514906866024,20806,743
90,461,-6.3580256,-7.992255,39628346077743585,491,956
91,521,-8.368215,-12.044066,39627880774243944,25520,1112
92,499,-2.7583709,-10.829148,39633329112222242,120917,1161
93,484,-2.275327,-11.765724,39627591115608435,23438,1115
94,452,-9.249603,-13.226099,39628178582407399,24146,4252
95,472,-0.4315791,-16.108486,2305843012451787712,41848,1458
96,515,-3.604448,-11.490512,39627533393594787,122849,1529
97,477,-0.8582987,-14.115984,39633428043272294,20507,3251
98,456,-11.423437,-10.021625,39633178662538826,20360,2148
99,501,-4.6009717,-9.41109,39633178939359292,26924,2564
100,484,-8.785964,-10.229964,39633236992721094,25439,1324
101,510,-5.4494557,-10.322054,39628120642290730,30992,4617
102,491,-6.545599,-9.964592,39627742995546592,7955,1373
103,498,-5.978195,-9.17676,39633285785062004,22186,947
104,484,-7.465857,-9.479864,39627811496921404,10376,386
105,481,-9.849317,-10.052023,39633228532813441,20652,677
106,447,-10.523339,-10.640029,34206957824902756,122964,4762
107,459,-8.308821,-8.944825,39633259209950240,120253,4719
108,461,-9.147359,-8.434513,39633200854597810,1895,593
109,472,-6.4923887,-12.550833,39633524638092518,26020,3036
110,465,-7.061564,-11.8311825,39627730412637292,8978,655
111,500,-8.607096,-14.574444,39627758682244373,4569,4925
112,501,-1.845818,-14.158991,39633396481134120,120994,2908
113,507,-1.246736,-15.197361,39633171075041417,20772,4908
114,463,-1.9226395,-13.02896,39627606257047398,2569,540
115,452,-7.139482,-10.853819,39628027830732019,27828,1096
116,447,-8.014243,-10.920343,39628057962611827,10825,4910
117,465,-4.7198496,-11.202061,39628262799835833,20407,2957
118,495,-2.755458,-13.416715,39627893797558918,20708,1368
119,456,-7.4962063,-13.004184,39628273528868080,25914,1015
120,423,-8.157614,-13.420548,39627244523490259,24571,4018
121,498,-5.8976007,-11.333968,39633427649003705,21581,1370
122,475,-3.1618686,-12.486417,39633099226612020,3496,4927
123,474,-3.9246545,-12.813113,39633278742826190,26935,1293
124,412,-5.4152,-12.472528,39633329749759002,22627,4611
125,395,-4.8772063,-12.05008,39633203442486069,24053,2700
