cluster,size,cx,cy,targetid,tileid,fiber
0,582,-4.863203,10.506132,2305843030952810527,40080,2464
1,582,-2.8801923,11.800959,2305843027798663825,41673,1882
2,584,-11.767885,10.832021,39627959497131991,21246,3617
3,588,0.61717975,16.68224,39633204700774515,23864,1666
4,571,0.56795585,18.921646,39628476260549385,1234,4851
5,594,-0.2896425,14.6192,2305843029656737660,42573,593
6,570,-17.39488,18.830631,2305843029379914033,42056,3573
7,590,-5.769656,28.181618,39628084416088725,21229,65
8,566,-14.594618,25.358473,39089837524918712,83365,4460
9,576,-9.505846,27.994434,39633076153746281,22533,3000
10,541,-9.4323225,10.007882,39628022508159615,21132,1409
11,582,-2.8343782,25.575775,39628412859453471,22471,1710
12,558,-13.270413,11.954127,39627775673369276,44,4770
13,564,-7.228625,10.27972,2781182785748999,22690,1950
14,566,-7.6206036,27.566498,39627682773734373,22229,1430
15,553,-13.042042,26.441912,2305843017635872428,42620,1725
16,551,-1.6742096,13.453792,2305843029270868486,42011,759
17,543,0.017257651,22.367458,39632995430170741,25045,1048
18,574,-4.2021813,26.912403,39628152619665467,2103,2750
19,581,-16.598219,22.240042,2305843011671576813,41939,4645
20,586,-4.5597186,12.253106,2305843035214194480,41600,3581
21,557,-16.97293,15.646944,2305843019431019591,41882,933
22,578,-0.14357543,20.533886,2305843017640062389,42628,2122
23,559,-16.78003,20.504646,39627709176876417,7707,493
24,568,-11.394716,27.255606,39627793968923175,23720,2752
25,558,-6.2942104,11.624605,2305843018709599768,40480,4568
26,578,-14.954585,12.530035,2305843017367440132,42645,1162
27,557,-15.497474,23.804537,39628082688035989,1251,848
28,570,-15.605178,14.228225,2305843009729600051,41447,826
29,576,-11.869875,12.684257,39628454261426519,21956,1276
30,562,-0.94104755,24.407623,2305843027886737820,41680,2859
31,575,-10.127635,11.510396,39628166079186839,20077,2018
32,551,-3.2420604,13.663064,2305843012153945068,82404,2193
33,556,-5.9937277,26.477894,39628283360314566,26084,2569
34,546,-15.63515,19.35775,39633493700904306,80787,593
35,533,-12.9613905,24.808418,39627776285740444,23227,3051
36,576,-1.7024803,20.944159,2305843045641228949,42777,1957
37,583,-2.4712315,23.722681,39627716021979018,23224,1780
38,558,-10.50113,12.948474,2305843017392592227,42632,4095
39,552,-7.525794,12.668064,39628242012866816,22556,1493
40,564,-8.360133,11.529517,2305843020513151809,42498,1284
41,542,-14.4735,15.37175,2305843023730253124,40814,44
42,558,-1.6019174,22.453459,39628025720997116,3595,4011
43,563,-15.410902,16.39096,2305843028801106413,42071,1469
44,553,-16.330969,17.665794,2305843038838069055,41128,4182
45,549,-13.733219,13.739346,39633049981288803,20884,2595
46,546,-0.7636664,17.87982,39633285776671565,25331,1014
47,542,-15.251327,20.816727,39627697692871669,23255,3539
48,557,-14.893874,17.937933,39633472087654842,26022,1575
49,545,-11.555314,25.556793,39633362121393075,23740,2910
50,524,-4.5467925,25.310246,39627780983358755,2527,732
51,553,-3.7486742,24.08857,39633188263299445,25459,3970
52,541,-1.1286138,16.097317,2305843022748991470,40156,2715
53,541,-10.112227,26.296577,2305843015698089240,41521,3091
54,534,-1.3220041,19.396023,39633300892944833,23790,3106
55,563,-2.3021407,15.001067,2305843036376011280,40221,959
56,527,-8.917008,25.056482,39628170114111381,3659,2516
57,533,-8.682534,26.332777,39627902936942508,154,449
58,540,-9.074857,12.838131,39628366973767859,26083,4763
59,538,-12.409734,14.133022,39628523215783993,20927,1067
60,539,-13.222985,15.252251,2305843030629823350,40867,4197
61,567,-2.2912545,16.909935,39628450197144540,11292,4286
62,549,-3.1398017,21.103085,2305843042113825166,40240,4740
63,552,-3.1025226,22.2601,39628306181525072,24489,199
64,561,-6.932403,13.899332,39628521424816457,21390,1014
65,542,-5.9370265,13.001485,39627702994471979,20262,3718
66,537,-2.200947,18.216188,39627466922268417,25224,1369
67,540,-14.955164,22.305222,39627646669167325,4801,4733
68,531,-8.3435,13.876229,39627934884959489,22406,4524
69,552,-4.12941,15.050585,2305843017556173709,42625,2705
70,526,-4.581535,13.760139,2305843039110697397,42366,2454
71,528,-13.911362,23.613613,2305843015433848064,41640,4727
72,547,-5.1360526,23.901833,39627800210047096,5260,2109
73,534,-11.204492,14.218783,39627793855677634,56,3670
74,548,-9.809721,14.10387,2305843019477160795,41908,3471
75,533,-3.26636,15.962115,39633523300106851,80960,4687
76,549,-10.300409,24.964643,2305843018617333908,40442,571
77,531,-2.7155573,19.904621,39633354840081907,26294,1224
78,543,-7.709121,14.940709,39628403854283298,22358,650
79,543,-14.107876,20.18328,39628034520648306,21086,2095
80,501,-14.21428,19.070362,39628521533867198,21400,1236
81,519,-13.984899,16.807396,2305843028654303159,41338,3323
82,525,-4.217435,22.88108,39628216465362755,21830,1509
83,532,-5.3072147,22.420284,39633414315314543,26802,2732
84,571,-6.1948113,23.054523,39633040485389277,20884,3245
85,565,-4.4910965,21.542574,39628198777981363,22649,1032
86,530,-3.4981275,17.52938,39628067248802604,2010,1604
87,536,-11.48524,24.252676,39627618953199741,21845,3541
88,507,-11.933768,15.511663,39627850726249266,3413,1874
89,530,-3.363948,18.891022,39627598220757752,23273,755
90,547,-7.640544,24.860138,39089837520732747,83360,3497
91,504,-7.289882,25.996668,39633114598739884,22448,795
92,544,-8.471184,23.831488,39628170181218960,24219,4024
93,518,-5.7035446,14.445312,39628062974808654,26872,1667
94,539,-10.568169,15.199281,39633408476843206,549,4988
95,479,-5.8347697,25.139214,39628499387942135,22357,1948
96,501,-10.99737,16.232065,39628395134324865,23632,2548
97,550,-9.059867,15.038671,39627998755816611,11457,4540
98,511,-12.804782,16.470697,39628226967896873,4530,621
99,506,-7.379109,23.516115,2305843047339918938,40730,4977
100,487,-6.522944,24.229858,39627836528527112,1117,4052
101,505,-11.806747,16.982111,39627856413723940,20847,4965
102,467,-12.466655,17.77249,39627998986507049,8333,2525
103,536,-13.2436285,22.472595,39627881755712111,10555,3374
104,530,-12.43614,23.501923,39633154318797375,22451,290
105,516,-13.900357,21.4634,39627808309254729,9639,3945
106,532,-12.860062,18.898138,39627648338494893,24660,3435
107,506,-13.553397,17.917007,39628135498517378,5911,2903
108,535,-12.920641,20.033968,39628049410429328,26275,1607
109,548,-12.733743,21.112228,39633001566440489,25462,1177
110,531,-12.124904,22.04455,39627991872965407,26202,37
111,524,-11.379697,22.813309,2305843024896202090,42108,3945
112,516,-10.492969,23.466719,39633398427290583,27601,965
113,493,-9.596284,23.95078,2305843035239365685,41600,2099
114,536,-6.262394,16.527452,39628204696146003,21100,1430
115,534,-5.2919216,15.667541,39633023984993277,20985,2492
116,540,-7.431323,16.282352,39633464932173898,22868,4736
117,527,-6.567416,15.401042,2781376780697606,21100,1041
118,524,-4.3990984,16.574875,39628467918079862,20815,3510
119,544,-4.5266347,19.261705,39628198744425612,22652,926
120,544,-4.623317,18.116667,39633354856862257,8824,4899
121,549,-5.373314,17.255064,2305843011336052897,41830,3768
122,508,-9.7278,16.004593,2305843021582703370,40107,1378
123,549,-4.270358,20.358793,39628221234286230,23530,4990
124,24433,-8.750147,19.891207,39632981937096948,24043,2853
125,500,-8.458215,16.012442,39628193111474856,80863,1263
