,condition,n,pearson_r,pearson_p,spearman_r,spearman_p
backup,NEXP,1310,0.3008,0.0000,0.6159,0.0000
backup,EBV_MEAN,1310,0.2984,0.0000,0.3273,0.0000
backup,EXPTIME_TOTAL,1310,0.2942,0.0000,0.5597,0.0000
dark,SKY_MAG_Z_SPEC_MEAN,6671,-0.1693,0.0000,-0.1522,0.0000
dark,SKY_MAG_R_SPEC_MEAN,6671,-0.1621,0.0000,-0.1529,0.0000
dark,SKY_MAG_AB_GFA_MEAN,6665,-0.1589,0.0000,-0.1570,0.0000
bright,EXPTIME_TOTAL,5165,0.1278,0.0000,0.1585,0.0000
bright,TRANSPARENCY_GFA_MEAN,5144,-0.1182,0.0000,-0.0767,0.0000
dark,SKY_MAG_G_SPEC_MEAN,6671,-0.1162,0.0000,-0.0866,0.0000
bright,AIRMASS_MEAN,5165,0.1127,0.0000,0.1074,0.0000
backup,SEEING_GFA_MEAN,1309,0.0844,0.0022,0.2025,0.0000
dark,EBV_MEAN,6671,-0.0822,0.0000,-0.0975,0.0000
bright,SKY_MAG_G_SPEC_MEAN,5165,0.0771,0.0000,-0.0257,0.0647
backup,SEEING_ETC_MEAN,1310,0.0753,0.0064,0.1797,0.0000
backup,AIRMASS_MEAN,1310,0.0708,0.0104,0.0980,0.0004
dark,EXPTIME_TOTAL,6671,0.0636,0.0000,0.0717,0.0000
backup,SKY_MAG_G_SPEC_MEAN,1310,0.0621,0.0245,0.1088,0.0001
bright,SEEING_ETC_MEAN,5164,0.0613,0.0000,0.0186,0.1818
bright,SEEING_GFA_MEAN,5144,0.0598,0.0000,0.0189,0.1759
backup,TRANSPARENCY_GFA_MEAN,1309,-0.0521,0.0595,-0.2228,0.0000
backup,SKY_MAG_AB_GFA_MEAN,1309,0.0489,0.0772,0.0590,0.0329
dark,TRANSPARENCY_GFA_MEAN,6665,0.0488,0.0001,0.0645,0.0000
backup,SKY_MAG_Z_SPEC_MEAN,1310,-0.0478,0.0837,-0.0881,0.0014
bright,SKY_MAG_R_SPEC_MEAN,5165,0.0441,0.0015,-0.0400,0.0041
bright,NEXP,5165,0.0432,0.0019,0.0813,0.0000
bright,SKY_MAG_AB_GFA_MEAN,5144,0.0430,0.0020,-0.0390,0.0051
backup,SKY_MAG_R_SPEC_MEAN,1310,0.0400,0.1481,0.0478,0.0838
bright,SKY_MAG_Z_SPEC_MEAN,5165,-0.0191,0.1702,-0.0972,0.0000
dark,AIRMASS_MEAN,6671,-0.0129,0.2938,-0.0574,0.0000
dark,SEEING_GFA_MEAN,6665,0.0067,0.5853,0.0018,0.8817
dark,SEEING_ETC_MEAN,6670,-0.0067,0.5854,-0.0060,0.6246
bright,EBV_MEAN,5165,-0.0062,0.6552,-0.0176,0.2066
dark,NEXP,6671,0.0008,0.9475,-0.0094,0.4436
,,,,,,
