TARGETID,TILE,FIBER
39633145280072748,336,1546
39627853662260063,14,1957
39633149734424060,363,3768
39627847618266716,15,1774
39627764264865286,257,4237
39633136497199715,338,1163
39627758170540656,228,4646
39627769612604208,45,619
39627776323485921,260,1581
39633118717545286,342,690
39627758099238872,511,276
39627752072022086,525,4538
39633149600205867,586,3342
39627776193463095,528,1623
39627758157958208,236,436
2349964256608259,1086,4313
39627806497312714,20086,4493
39633158236276091,20733,984
39627796477118734,1010,3683
39627802525303142,21580,689
39627790437326694,22436,3198
39627790537985288,23687,1041
39627820808277754,25960,2814
39627743096214560,22234,1351
2789819507802113,2234,38
39627808858706620,6946,3468
39627768920545065,21527,4923
39627744773931923,21539,2883
2349999090302977,10200,4552
39627781088217888,23088,2765
39627851770628533,20714,4748
39627841385532565,23090,1797
39627866513608099,21125,1339
39627676662630497,25365,3035
2349969897947137,3686,2663
39627860444448720,25823,1534
39627853871975326,1484,3993
39627746170638949,4223,2033
39627745398885131,22028,1385
39627812461615134,5787,2909
39627889653581974,26231,4297
39627805834613151,20498,2621
39627841360368218,21528,101
39627763652496397,20580,1491
39627847630848581,2521,2702
39627770313048831,21664,1994
39633153568014967,25856,4741
