TARGETID,TILE,FIBER,loa_batch,hdbscan_cluster
39633153568014967,25856,4741,0002,61
39627808858706620,6946,3468,0002,32
2349969897947137,3686,2663,0003,122
39627781088217888,23088,2765,0003,5
39627758170540656,228,4646,0004,124
39633149600205867,586,3342,0005,88
39633149734424060,363,3768,0005,124
39627768920545065,21527,4923,0006,35
39627820808277754,25960,2814,0007,45
39627847630848581,2521,2702,0008,124
39627745398885131,22028,1385,0008,67
39633145280072748,336,1546,0008,96
39627802525303142,21580,689,0008,9
39627847618266716,15,1774,0008,76
39627752072022086,525,4538,0008,90
39627812461615134,5787,2909,0008,58
39627841360368218,21528,101,0009,12
39627851770628533,20714,4748,0010,96
