TARGETID,TILEID,FIBER,batch,hdbscan_cluster,Z_LYA,PROB
39627727539540219,9933,3836,0001,-1,2.440420389175415,0.9564133882522583
39627824276967296,3682,1073,0001,124,2.7906665802001953,0.999996542930603
39628015721779455,11808,4637,0001,124,2.4997894763946533,0.7360978722572327
39632990954848608,10001,4845,0001,-1,2.1792516708374023,0.9677107930183411
39627709839576805,5781,3812,0001,124,2.38373064994812,0.9968570470809937
39627854668892325,11483,3972,0001,124,2.1897807121276855,0.9998511075973511
39627903180211623,10499,3994,0001,124,2.128437042236328,0.9998350143432617
39633057405210713,3533,1629,0001,124,3.0313873291015625,0.9998076558113098
39632976388030584,190,1939,0001,3,1.985349416732788,0.9470112919807434
39627776017302453,6289,2300,0001,98,2.3144423961639404,0.999574601650238
39627865486003495,5687,2492,0001,75,2.5565266609191895,0.9985536932945251
39633001281227460,8030,3946,0001,81,2.501105785369873,0.9999998807907104
39627733193461399,4418,4912,0001,92,2.286097526550293,0.9999969005584717
39627825140992916,7676,4042,0001,-1,2.280174970626831,0.9590418934822083
39627714889515828,4118,3845,0001,84,2.421288251876831,0.9999947547912598
39627939465139525,10605,2283,0001,96,3.1659674644470215,0.9999991655349731
39627664738222889,7943,3866,0001,116,2.0545899868011475,0.997329592704773
39627819138944645,9221,4682,0001,64,2.485264539718628,0.8810460567474365
39627879046187904,5800,1009,0001,66,1.9754304885864258,0.5099374055862427
39628180671171720,7105,3001,0001,109,2.061828851699829,0.9993496537208557
39628206742962750,1078,3615,0001,15,2.221463680267334,0.9969655871391296
39627746137083806,2661,4748,0001,89,2.948279619216919,0.999998927116394
39627897043945635,10496,4693,0001,114,2.24125337600708,0.9998026490211487
39627701362885517,8748,2144,0001,109,2.1897807121276855,0.9999940395355225
39628500637847846,9792,1572,0001,111,3.0135717391967773,0.9951772689819336
39627824247603969,5246,2201,0002,100,2.350731611251831,0.9999996423721313
39627745239500077,5974,2618,0002,124,2.147568702697754,0.9399965405464172
39628195137326793,1078,1630,0002,124,2.4997894763946533,0.9999792575836182
39627749324754929,4816,3055,0002,-1,3.003042697906494,0.9999551773071289
