TARGETID,TILEID,FIBER,batch,hdbscan_cluster,Z_LYA,PROB
39628460167006696,10011,549,0001,88,2.034142017364502,0.9999995231628418
39627819138947876,9221,4753,0001,88,2.4292330741882324,0.7033923864364624
39628527720467176,3747,2910,0001,88,2.077670097351074,0.5399395823478699
39627849027555593,10503,4293,0001,88,2.6211607456207275,0.9634307622909546
39628317090910037,7838,4069,0001,12,2.2695982456207275,0.7762397527694702
39628495508212103,11358,2640,0001,115,2.284123420715332,0.9999821186065674
39627977893348731,2038,4903,0001,31,2.639634132385254,0.9999969005584717
39627806937713495,7518,975,0001,27,2.3302838802337646,0.9997734427452087
39633030335169571,9574,2374,0001,71,2.2095706462860107,0.9996683597564697
39627708497396722,10356,925,0001,122,2.6172125339508057,0.9965763688087463
39627539185930598,102745,1298,0002,n/a,2.413391351699829,0.9999593496322632
39627739690439749,8372,1440,0002,n/a,2.1297531127929688,0.999686598777771
39627847735710177,5671,832,0002,n/a,2.7458224296569824,0.7889410853385925
39628076258165872,11467,3858,0002,n/a,1.9793791770935059,0.6004909873008728
39627694916241662,11058,3724,0002,n/a,2.270914316177368,0.7850732803344727
39627911665289159,6741,4618,0002,n/a,2.1779356002807617,0.9999998807907104
39627865393729787,10193,2019,0002,n/a,2.307861566543579,0.9997500777244568
39627624271581596,11926,3410,0002,n/a,2.1033828258514404,0.9999996423721313
39627861455282220,4553,427,0002,n/a,2.307203531265259,0.9999986886978149
39628371218402141,3370,3042,0002,n/a,2.674560070037842,0.9982518553733826
39627588460612454,2557,799,0003,n/a,2.3883371353149414,0.592965304851532
39627855142850989,7522,682,0003,n/a,2.855958938598633,0.941314160823822
39627689123908675,2507,4553,0003,n/a,2.0862252712249756,0.997083842754364
39627749324754929,4816,3055,0003,n/a,3.003042697906494,0.9999551773071289
39627743289147914,4816,3452,0003,n/a,2.9416987895965576,0.9999992847442627
39627802512719954,4991,1349,0003,n/a,2.369863510131836,0.9982409477233887
39633098970761409,102351,4998,0003,n/a,2.2946527004241943,1.0
39627773454583970,102058,356,0003,n/a,2.280174970626831,0.901970386505127
39628172286755668,11649,2977,0003,n/a,3.280052661895752,1.0
39627645675113748,10911,731,0003,n/a,2.3276515007019043,0.9999446868896484
39627960084336213,11088,4591,0003,n/a,2.262359380722046,0.9096406698226929
39632951306093352,2196,4568,0003,n/a,2.2669661045074463,0.9995026588439941
39627667254805581,11497,4568,0003,n/a,2.1324331760406494,0.7719644904136658
39627981026492956,11455,4882,0003,n/a,2.7833805084228516,0.9815488457679749
39627733923267726,10492,3024,0004,n/a,2.8031699657440186,0.9994864463806152
39627890349834609,3026,743,0004,n/a,2.4358139038085938,0.9997195601463318
39627697751591011,5781,903,0004,n/a,2.5162887573242188,0.9995236396789551
39628472582145314,1308,4374,0004,n/a,2.9067258834838867,0.9999914169311523
39632991059710286,9969,4934,0004,n/a,2.563107490539551,0.9997761845588684
39628388972891607,102675,3158,0004,n/a,2.2854394912719727,0.9992677569389343
39628195137326793,1078,1630,0004,n/a,2.4997894763946533,0.9999792575836182
39628258999797621,9825,21,0004,n/a,2.008429765701294,0.9985546469688416
39627921597399275,9243,3016,0004,n/a,2.971359968185425,0.9984042048454285
39627762687805122,7253,1550,0004,n/a,2.423262357711792,0.8505654335021973
39627829125583686,10192,4569,0004,n/a,2.600713014602661,0.576165497303009
39627823089975772,10192,4955,0004,n/a,3.2497334480285645,0.5976381301879883
39633025352336138,8452,1032,0004,n/a,2.6792142391204834,0.5297383069992065
39627467798873245,4321,4803,0004,n/a,2.2478342056274414,0.9994781613349915
39627814059646396,3393,1304,0004,n/a,2.6053194999694824,0.9410319328308105
39628470912816487,1232,3103,0004,n/a,2.1363816261291504,0.9970788955688477
39627751270912091,10858,4837,0005,n/a,2.6798720359802246,0.9999098777770996
39627709592109891,3157,2982,0005,n/a,2.1561713218688965,0.9999346733093262
39627660489395164,4122,3592,0005,n/a,2.117907762527466,0.8259790539741516
39627956976354872,5233,519,0005,n/a,2.073063850402832,0.869131326675415
39627956246544973,7746,3259,0005,n/a,2.956223964691162,0.7427325248718262
39628303706882384,2281,3645,0005,n/a,3.024806499481201,0.9345192909240723
39627812306420149,8370,2179,0005,n/a,2.1133012771606445,0.8464464545249939
39627823702343896,4638,57,0005,n/a,2.8282723426818848,0.9983547329902649
39627715141176005,1273,84,0005,n/a,2.1192240715026855,0.9988297820091248
39632940954551435,6870,921,0005,n/a,2.340812921524048,0.9550673961639404
39628134433164947,9311,4726,0005,n/a,1.9965367317199707,0.9999287128448486
39628272924889856,9264,1525,0005,n/a,2.090879440307617,0.9999208450317383
39632976325118027,6860,880,0006,n/a,2.1660425662994385,0.9523397088050842
39632986248839521,6860,945,0006,n/a,2.3085198402404785,0.9999908208847046
39627727518564923,4720,524,0006,n/a,2.9845688343048096,0.7857983708381653
39627721780757677,8927,765,0006,n/a,2.4166817665100098,0.9999842643737793
39633000777909062,10001,4216,0006,n/a,2.4978153705596924,0.9997542500495911
39627615513871069,3424,1399,0006,n/a,2.7669286727905273,0.7035348415374756
39633066779477651,3532,3469,0006,n/a,2.2893879413604736,0.9999864101409912
39627661097566689,1578,3484,0006,n/a,2.8276140689849854,0.9920361638069153
39632951817798555,6450,4619,0006,n/a,2.1231722831726074,0.999920129776001
39627908871884650,1118,937,0006,n/a,2.2352828979492188,0.9791192412376404
39627909127736985,5803,1574,0006,n/a,2.3283095359802246,0.9501979947090149
39627670018853178,3103,3064,0006,n/a,2.0552480220794678,0.9999953508377075
39627468235083088,8698,4425,0006,n/a,2.2557311058044434,0.9911681413650513
39632971883349729,387,1884,0006,n/a,3.1197595596313477,0.7904647588729858
39627932473230643,4582,1023,0007,n/a,2.2788586616516113,0.5274149775505066
39633182710039678,6668,2578,0007,n/a,2.117907762527466,0.9999990463256836
39627823496823337,3,4678,0007,n/a,2.175961494445801,0.9997783303260803
39627970939192413,11183,1261,0007,n/a,2.020275115966797,0.9996874332427979
39627890668601672,3676,752,0007,n/a,2.34678316116333,0.9283543229103088
39627830790718031,8916,712,0007,n/a,3.508927345275879,0.9982648491859436
39633239379283975,9968,954,0007,n/a,2.4595515727996826,0.9955892562866211
39627951712505870,10797,4101,0007,n/a,2.264333486557007,0.9909701347351074
39627758040520444,10493,587,0008,n/a,2.3283095359802246,0.9988763928413391
39627762775887274,2531,4709,0008,n/a,2.061828851699829,0.9990693926811218
39628523547138067,6588,4990,0008,n/a,2.2926783561706543,0.9998169541358948
39628080829956691,5514,3495,0008,n/a,3.377685070037842,0.9981116056442261
39627648153948274,11950,4480,0008,n/a,1.9998269081115723,0.9984645843505859
39627738964822052,11911,818,0008,n/a,2.4245786666870117,0.8949524164199829
39627565182222939,3148,695,0008,n/a,3.1033077239990234,0.9999997615814209
39628004351020740,1457,409,0008,n/a,2.686452865600586,0.9999982118606567
39628035116241027,2782,567,0008,n/a,2.2484922409057617,0.9070863723754883
39627890580521614,11474,1406,0008,n/a,2.543975830078125,0.999947190284729
39628365182800309,11625,4324,0008,n/a,2.145594596862793,0.9999980926513672
39627793599824649,4418,3019,0008,n/a,2.770219087600708,0.9999998807907104
39627871420941041,7107,3266,0009,n/a,2.202331781387329,0.9999669790267944
39627764260673512,250,4563,0009,n/a,2.087541341781616,0.9918831586837769
39627708551921749,7226,2786,0009,n/a,2.0664353370666504,0.9193023443222046
39633522834538783,10108,833,0009,n/a,2.4569196701049805,0.9756611585617065
39628033778258083,4086,2576,0009,n/a,2.637660026550293,0.9998173117637634
39632996185146428,3758,2815,0009,n/a,2.268281936645508,0.9979941844940186
39628446275469561,11635,4012,0009,n/a,2.576974630355835,0.9927311539649963
39627863518872033,3605,2453,0009,n/a,2.2352828979492188,0.9226731061935425
39628512369315439,3772,3296,0009,n/a,2.7972471714019775,0.9211911559104919
39627933798635641,7673,3454,0009,n/a,2.2029898166656494,0.8661186695098877
39632931441870335,11115,4401,0009,n/a,2.536079168319702,0.9997884631156921
39628394370960246,5518,3472,0009,n/a,2.1033828258514404,0.9912477135658264
39627691686630861,7368,742,0009,n/a,2.540027379989624,0.856137216091156
39627613018260284,6280,2478,0009,n/a,2.706242322921753,0.5591913461685181
39627654265049186,7252,3378,0009,n/a,2.011061906814575,0.9999412298202515
39628005370233764,5928,4049,0009,n/a,2.4417362213134766,0.6224285364151001
