TILEID,SURVEY,PROGRAM,FAPRGRM,NEXP,EXPTIME_TOTAL,AIRMASS_MEAN,SEEING_ETC_MEAN,SEEING_GFA_MEAN,TRANSPARENCY_GFA_MEAN,SKY_MAG_AB_GFA_MEAN,SKY_MAG_G_SPEC_MEAN,SKY_MAG_R_SPEC_MEAN,SKY_MAG_Z_SPEC_MEAN,EBV_MEAN
1,sv3,dark,dark,3,2299.417419,1.187265,1.358982,1.139434,0.900097,21.107563,22.114919,21.235048,19.674663,0.020822
2,sv3,dark,dark,2,1900.401123,1.207538,1.110818,1.237639,1.077360,21.068393,22.022331,21.245443,19.628430,0.022902
3,sv3,dark,dark,1,951.459839,1.153284,0.958790,0.864764,1.076566,21.148214,22.139492,21.233522,19.417656,0.021220
4,sv3,dark,dark,1,1065.142456,1.166405,0.961919,0.935542,1.054035,21.125042,22.138755,21.252115,19.578697,0.022331
5,sv3,dark,dark,2,1656.947754,1.170195,0.892601,1.162392,1.051756,21.208375,22.134336,21.296101,19.501821,0.022309
6,sv3,dark,dark,2,1668.273865,1.152597,0.978375,1.029107,1.059923,20.754355,21.262381,20.815778,19.373723,0.020813
7,sv3,dark,dark,1,1750.805054,1.227402,1.427241,1.238219,1.016940,21.331153,22.079648,21.298388,19.736568,0.021505
8,sv3,dark,dark,2,2347.935669,1.168814,1.496832,1.254887,1.022309,21.132696,21.984241,21.242520,19.806646,0.022583
9,sv3,dark,dark,2,2457.809631,1.341293,1.286058,1.207135,0.840976,20.921299,21.927079,21.004957,19.244573,0.021048
10,sv3,dark,dark,3,2992.357544,1.343120,1.293458,1.393569,1.012939,20.931561,21.915022,20.996853,19.103790,0.022696
11,sv3,dark,dark,2,2881.605225,1.213984,1.826862,1.158176,1.013215,21.082286,22.006097,21.193325,19.361494,0.021687
12,sv3,bright,bright,2,1488.581848,1.261331,1.206658,1.246399,0.543672,20.476003,20.823949,20.577299,19.462469,0.020766
13,sv3,bright,bright,1,363.689331,1.239003,0.961555,1.027772,1.095934,20.794183,21.128468,20.937369,19.462870,0.022651
14,sv3,bright,bright,1,470.846893,1.223627,1.157431,1.323939,1.041956,20.953365,21.513605,21.093393,19.525727,0.021241
